Datum,Merilno mesto,PREJETA DELOVNA ENERGIJA ET,PREJETA DELOVNA ENERGIJA VT,PREJETA DELOVNA ENERGIJA MT,ODDANA DELOVNA ENERGIJA ET,ODDANA DELOVNA ENERGIJA VT,ODDANA DELOVNA ENERGIJA MT,VRSTA STANJA
2025-04-01,4-173858,4448.8350,2182.1140,2266.7210,0.0000,0.0000,0.0000,Stanje iz MC
2025-04-02,4-173858,4456.3070,2187.4370,2268.8700,0.0000,0.0000,0.0000,Stanje iz MC
2025-04-03,4-173858,4464.2570,2193.1420,2271.1150,0.0000,0.0000,0.0000,Stanje iz MC
2025-04-04,4-173858,4471.3040,2197.9610,2273.3430,0.0000,0.0000,0.0000,Stanje iz MC
2025-04-05,4-173858,4478.3440,2202.8200,2275.5240,0.0000,0.0000,0.0000,Stanje iz MC
2025-04-06,4-173858,4487.0010,2202.8200,2284.1810,0.0000,0.0000,0.0000,Stanje iz MC
2025-04-07,4-173858,4495.9850,2202.8200,2293.1650,0.0000,0.0000,0.0000,Stanje iz MC
2025-04-08,4-173858,4504.5940,2209.0470,2295.5470,0.0000,0.0000,0.0000,Stanje iz MC
2025-04-09,4-173858,4515.1880,2217.1500,2298.0380,0.0000,0.0000,0.0000,Stanje iz MC
2025-04-10,4-173858,4523.3510,2223.1070,2300.2440,0.0000,0.0000,0.0000,Stanje iz MC
2025-04-11,4-173858,4530.1730,2227.7190,2302.4540,0.0000,0.0000,0.0000,Stanje iz MC
2025-04-12,4-173858,4536.9770,2232.3700,2304.6070,0.0000,0.0000,0.0000,Stanje iz MC
2025-04-13,4-173858,4543.5440,2232.3700,2311.1740,0.0000,0.0000,0.0000,Stanje iz MC
2025-04-14,4-173858,4550.4160,2232.3700,2318.0460,0.0000,0.0000,0.0000,Stanje iz MC
2025-04-15,4-173858,4555.2560,2236.0160,2319.2400,0.0000,0.0000,0.0000,Stanje iz MC
2025-04-16,4-173858,4562.4930,2241.8760,2320.6170,0.0000,0.0000,0.0000,Stanje iz MC
2025-04-17,4-173858,4566.7750,2244.6220,2322.1530,0.0000,0.0000,0.0000,Stanje iz MC
2025-04-18,4-173858,4571.5830,2248.0360,2323.5470,0.0000,0.0000,0.0000,Stanje iz MC
2025-04-19,4-173858,4577.6620,2252.3690,2325.2930,0.0000,0.0000,0.0000,Stanje iz MC
2025-04-20,4-173858,4583.5450,2252.3690,2331.1760,0.0000,0.0000,0.0000,Stanje iz MC
2025-04-21,4-173858,4588.7200,2252.3690,2336.3510,0.0000,0.0000,0.0000,Stanje iz MC
2025-04-22,4-173858,4593.1330,2252.3690,2340.7640,0.0000,0.0000,0.0000,Stanje iz MC
2025-04-23,4-173858,4598.7350,2256.6710,2342.0640,0.0000,0.0000,0.0000,Stanje iz MC
2025-04-24,4-173858,4602.7930,2259.3990,2343.3940,0.0000,0.0000,0.0000,Stanje iz MC
2025-04-25,4-173858,4608.6440,2263.9080,2344.7360,0.0000,0.0000,0.0000,Stanje iz MC
2025-04-26,4-173858,4615.7980,2269.2890,2346.5090,0.0000,0.0000,0.0000,Stanje iz MC
2025-04-27,4-173858,4624.5620,2269.2890,2355.2730,0.0000,0.0000,0.0000,Stanje iz MC
2025-04-28,4-173858,4631.6400,2269.2890,2362.3510,0.0000,0.0000,0.0000,Stanje iz MC
2025-04-29,4-173858,4637.0730,2273.1210,2363.9520,0.0000,0.0000,0.0000,Stanje iz MC
2025-04-30,4-173858,4644.7940,2279.3430,2365.4510,0.0000,0.0000,0.0000,Stanje iz MC
2025-05-01,4-173858,4650.5900,2283.1240,2367.4660,0.0000,0.0000,0.0000,Stanje iz MC
